Hay_Bone_Marrow_CD34_pos_CLP	Hay_Bone_Marrow_CD34_pos_Eo_B_Mast	Hay_Bone_Marrow_CD34_pos_ERP	Hay_Bone_Marrow_CD34_pos_ERP_Early	Hay_Bone_Marrow_CD34_pos_Gran	Hay_Bone_Marrow_CD34_pos_HSC	Hay_Bone_Marrow_CD34_pos_HSC_cycle	Hay_Bone_Marrow_CD34_pos_LMPP	Hay_Bone_Marrow_CD34_pos_Lymphoid_UNK	Hay_Bone_Marrow_CD34_pos_MDP_1	Hay_Bone_Marrow_CD34_pos_MDP_2	Hay_Bone_Marrow_CD34_pos_MEP	Hay_Bone_Marrow_CD34_pos_MKP	Hay_Bone_Marrow_CD34_pos_MultiLin	Hay_Bone_Marrow_CD34_pos_pre_B	Hay_Bone_Marrow_CD34_pos_pre_B_cycling	Hay_Bone_Marrow_CD34_pos_pre_PC	Hay_Bone_Marrow_CD34_pos_pre_T	Hay_Bone_Marrow_CD8_T_cell	Hay_Bone_Marrow_Dendritic_Cell	Hay_Bone_Marrow_Early_Erythroblast	Hay_Bone_Marrow_Eosinophil	Hay_Bone_Marrow_Follicular_B_cell	Hay_Bone_Marrow_Granulocytic_UNK	Hay_Bone_Marrow_Immature_Neutrophil	Hay_Bone_Marrow_Monocyte	Hay_Bone_Marrow_Naive_T_cell	Hay_Bone_Marrow_Neutrophil	Hay_Bone_Marrow_NK_cells	Hay_Bone_Marrow_Plasma_Cell	Hay_Bone_Marrow_Platelet	Hay_Bone_Marrow_Pre_Dendritic	Hay_Bone_Marrow_Pro_B	Hay_Bone_Marrow_Stromal
				LINC01471	ITGA9		TFAP2A					LY6G6D	ANKRD13B	SYF2	IL5	STAG3		KRT10	SLC4A3	SDHAF3	SEC23B	ABCB4		C9orf72	MEG3	CLEC2D	BRI3	CCL4	IGLV1-51	MYLK		HNRNPA1	ITIH5
				COL17A1	SAMD13		GLUD2					CCND1	KDSR	KIF12	ZNF716	GPR176		OASL	CSF2RA	RPP40	HNRNPUL2	EBI3		CD4	POU2F2	TLE5	TMEM176A	LGALS9B	IGKV1-39	SMIM5		BUB3	SLC7A10
				CDRT15L2	HOXA10		AC055713.1					STXBP5	ARMC9	EIF3F	PITPNM3	ERO1B		PMAIP1	KRT5	ATP5MD	INAFM1	ISCU		HK2	C5AR2	TRAT1	RNF130	SKAP1	ARX	PEAR1		TIFA	IGFBP7
				SOX18	EPB41L4A-AS1		FCN2					HMG20B	LINC01535	ENTPD8	LINC02583	AHDC1		ZNF80	OPN3	INTS13	HIPK1	CD180		C15orf39	INSIG1	SH3YL1	IRS2	ARPC5L	IGKV3-15	INKA2-AS1		CDCA7	ID4
				ANKS6	ATP1B1		GALNT4					SQLE	CLINT1	SHOX2	SETSIP	ATP1B3		BATF	NOTCH4	NDUFC2	GUSB	LARGE1		TMEM70	SOD2	MGAT4A	TMSB10	PAXX	CLDN14	ELOVL7		CDKN2A	CYP1B1
				FLNC	UBR5-AS1		ADPRHL1					NOTUM	LINC01114	GSDME	PLA2G10	CKMT2		HAUS3	TXN	GTF3A	RABL6	HLA-DOA		SH2B3	RRAS	RPL39	ZFAND5	TMIGD2	PLAAT2	AP002478.1		KIF11	GPX8
				LINC02076	MIR1915HG		FAM230J					C1orf226	DHCR24	EFHC1	CNGB3	FAM241A		RHEBL1	RPS6KA4	ABO	SLC1A4	LINC02422		NLRP3	CUX1	PASK	SLC2A3	PPP1R18	PERP	PDGFA		NDC80	EFEMP1
				BSN	CTSF		LINC00102					DLX1	WT1	LAMA5	SLC25A18	RNF43		BTN3A3	SEC61G	GATA2-AS1	DYNLL2	FXYD1		MIR22HG	ITGAX	RPL17	CTSZ	RUNX3	IGLV2-14	RAB27B		CEP55	ISLR
				ANKRD45	HOXA3		SLC22A14					LPAR4	HOXA-AS3	RB1	LINC01623	RNF152		CD84	WDFY4	NMI	XPO1	COL4A3		ARF6	CD300LF	NELL2	ASGR1	CD244	SPATS2	FRMD3		KNL1	ABCA8
				WDR6	CBX2		GOLGA8H					PKN3	C11orf49	NSUN7	RPL10L	WASF2		IFRD1	VEGFB	MDH2	CTBP1	METTL8		CARD19	ARPC5	BTG1	STX11	FAM49B	IGLV3-21	GSTO1		TACC3	LIFR
				IGLON5	TCEAL4		ATP6V1B1					ECM1	GALNT12	FAM3B	ANKRD20A2	PPP2R2C		MXRA7	CCDC88A	EXTL2	PTTG1IP	C12orf74		DPYSL2	SFTPD	RPL28	LRRK2	WIPF1	IGKV1-5	MLH3		SAE1	ERRFI1
				CCT6B	PCDH17		CCK					CACNB3	TRIM6	TOX2	ABRA	SH3TC1		DLGAP1-AS1	TNNI2	TRIM29	MICAL1	GNG3		RAB20	SCIMP	TNFRSF25	GLIPR1	PLEKHF1	GMPPB	RGS6		FAIM	PCDH18
				MSH5-SAPCD1	PRDM16-DT		UBQLNL					LINC01625	SNHG21	NKAIN4		LINC00305		UTS2	P2RY6	ASB9	ACPP	STX7		SLC6A6	SNX18	RPS5	RHOB	IRF1	LINC01480	LURAP1L		MIS18BP1	RAI14
				INSYN2B	BAALC-AS2		LINC02608					USP18	PRKCSH	ZCCHC10		SLC35E3		EPHX4	CUX2	PDSS1	SLC25A24	OSTN-AS1		TXNIP	SMPDL3A	AQP3	ACTB	CFL1	CCR10	F13A1		PPIA	DEPP1
				MYH6	RSL1D1		AGBL4					MAST4-AS1	LCMT1	ZDHHC23		LUC7L3		LAX1	UNC93B1	HAGHL	WRNIP1	FCRL3		CPEB4	LILRA2	GIMAP7	LCP1	OSTF1	KDELR2	TPM4		CENPA	BMPER
				MIR302CHG	NKX2-3		PLEKHA7					CIB3	LINC02415	CYB5R4		LINC02202		MAGED2	UBE2E2	HSD17B12	GBA	GPM6A		LIPA	NFKBIZ	OXNAD1	ANPEP	HSH2D	TXNDC15	MAX		FBXO5	SVEP1
				PYDC1	TAOK3		LHFPL5					ABHD11	CA9	SLC16A14		SEMA6A		EMC7	SLC7A5	MRPL24	NETO2	NCOA3		UBA52	LGALS9	RORA	ANXA5	PTPN4	KRTCAP2	ILK		LAT2	FRMD6
				C2CD4B	NPM2		MRTFA-AS1					AC236972.3	ZNF883	FBXO25		TAF7		TAP2	PARK7	ZNF667-AS1	DUSP23	ZNF860		PRKAG2	THEMIS2	EIF3E	SCPEP1	LINC02384	TAS1R3	EGF		RACGAP1	VEGFC
				HRH4	ATP2C1		LINC02274					RASAL2	LRRIQ4	KREMEN2		RHPN1		DUSP10	OSTC	PYURF	CERS6	UGT8		JARID2	NEURL1	DNAJB1	TIMP2	XCL1	IGHV1-24	MYEOV		HELLS	OLFML2B
				SLC5A11	HOXB6		PDE11A					ANKRD2	TAFA3	ZNF439		ABCG2		PPP1R16B	AP001453.2	THRB	MT-ATP8	DENND5B		ZDHHC1	MSR1	RPS21	ATP6V0B	SYTL1	RABAC1	CFAP161		RBMX	NUPR1
				GOLGA8O	SPOCK3		UVRAG-DT					RAB14	LRRC58	C12orf49		ZNF608		C1orf61	ATG101	RNPS1	CALCRL	CNTNAP2		H3F3B	SH3BGRL	TSC22D3	ANXA2	KIR2DL1	KDELR1	INKA1		DDX39A	GFRA1
				SPATA12	CCNB1IP1		LINC01354					COG6	ZAN	TLE6		COBL		RASGEF1A	OFD1	NIPSNAP2	SNHG9	SP100		UBE2R2	ADGRE2	TMEM123	LY86	DHRS7	WNT10A	PROS1		SUMO2	NOTCH3
				LINC01862	NAP1L3		GLIPR1L1					DOK1	MDH1B	RAPGEF3		LRFN2		AIP	CUEDC1	SURF6	RAB44	VOPP1		SH3BP2	C1QB	TNFAIP3	OSCAR	PIP4K2A	PIK3CD-AS2	MEIS1		SERHL2	TMEM108
				TMPRSS6	CASC15		FLJ45513					FGB	SPART-AS1	TTC21A		SCHIP1		ITGAD	SLC7A11	ALKBH2	COLGALT1	SETBP1		BACH1	RNF144B	RPL24	PRAM1	CD53	PRSS16	MISP3		HNRNPA0	FOSB
				SPINK8	ELMO1		OOEP					ALDH3A1	GLYATL1	HS3ST1		BCR		PZP	KCNK6	GTF2I	COPRS	KDM4B		BHLHE40	HOTAIRM1	KLF2	TMEM167A	EFHD2	PAIP2B	SEC14L5		STRBP	ANTXR1
				ANXA9	RASSF9		FAM157C					LINC01748	MEIS1-AS3	DGKD		PLIN3		ZNF622	SEMA7A	PRR15	CALU	DOK7		LUCAT1	TCIRG1	ITM2A	CLEC12A	LPCAT1	TGFBR3L	CTSA		SKA3	RND3
				GNAT2	HIST3H2A		C9orf153					NFU1	IGFL4	ADARB1		CHD9		GTDC1	CLIC2	KDM1A	ARHGAP19	LINC02413		RHOQ	RNF149	AP3M2	DAZAP2	STAT4	MEI1	TLN1		HJURP	ANGPT1
				KCNJ6	NYNRIN		KRTAP5-10					NES	LINC00347	ANKRD30B		SEC63		ZNF394	EPHA2	SRD5A3	SURF4	IKZF3		KLF11	GNB2	TRABD2A	HNMT	ARL4C	IGLV1-44	PVALB		CDCA7L	ADAMTS9
				TBPL2	MYCNOS							LINC00504	PRSS54	IGLC4		FAM215B		KIAA1671	CD2AP	MRPS35	COL8A2	LINC00494		IFI6	TBC1D8	AL445686.2	MSRB1	PCSK7	CST6	LEFTY1		FBXO43	SNAI2
				CILP2	FBXW9							PIGF	ACMSD	CCDC141		MDM2		LINC01943	CIB2	MTHFD2	LRP8	REL		HSD17B11	HK3	CD5	PADI4	TGFBR3	ARSA	MYZAP		RMI2	GHR
				GPR37L1	HOXB3							TEC	KANK4	LINC00472		ANKRD10		RAB11FIP5	CXCR3	KTN1	MCMBP	OSBPL10		EPB41L3	CPPED1	RPS15	IGSF6	ADAM8	LMAN2	LY6G6F-LY6G6D		MSI2	TMEM37
				STPG3	TAF1D							KCNJ1	ZNF835	DIPK1B		ADPRM		RALGDS	IDH3A	SDHC	RPS6KA3	SYNPO		VAMP3	VAMP5	LDHB	MTMR11	NMUR1	TUBB2B	VIM-AS1		HMGN3	NAV2
				NEURL4	SLC8A3							ANGPTL8	ARMH4	LRRC38		COX7A2L		SYNM	ST14	SLC27A5	SEC24D	TEX9		FOXO3	RGS19	STMN3	AP2S1	PDGFD	MANEA	NFE2		PAQR4	CFH
				IFNB1	CYYR1							IL13RA2	GPHN	LINC01626		NUDT11		FAM129A	SIDT1	VWDE	ACLY	E2F5		RIT1	UQCRB	FYB1	ALDOA	TSEN54	TXNDC11	FSTL4		MND1	ITGBL1
				MOBP	WASIR2							LINC02259	CPNE8-AS1	PCSK9		MYO5C		MED15	IL1R2	NLE1	ITGA7	CHD7		SLC16A6	CASP5	RPS17	SERPINB1	EIF3G	KCNMA1	UPK1A-AS1		CDKN2C	COX7A1
				SEMA3B-AS1	BSPRY							LINC02688	DOC2A	NLRC5		HHEX		AC003665.1	CYP46A1	ANKRD27	ARHGEF6	ARHGAP25		TMEM219	CHST7	COMMD6	IVNS1ABP	CX3CR1	LMTK3	TAGLN2		EAF2	SLC22A3
				RIMBP3C	PCBD1							LINC00867	GPR63	ELOA		LINC00544		RCAN2	UPK3A	WDR77	CS	LIMS2		RAB1A	SLC31A2	ICOS	GNAI2	SYNE1	CADM1	LIPH		PXMP2	TMEM132C
				MAB21L3	EIF3D							RCOR2	ZNF710-AS1	CPM		NDUFAF6		LINC00239	CIITA	C9orf116	LRP4-AS1	BTNL9		CDC42	HIGD2A	RHOH	SDCBP	ARHGAP9	IGHV3-7	WDR11-AS1		TCF19	RSPO1
				VCAN-AS1	BEX4							MIR4500HG	TTLL1	MTHFD2L		WASHC4		C15orf61	CCDC189	HOMER2	PPP4R1	SPON1		RELT	PPP1R17	TRAF3IP3	LTA4H	ASCL2	IL5RA	GRHL1		TFDP2	EGFLAM
				TFF1	CCDC171							LGALSL-DT	TMEM94	GIT2		PNN		CLSTN1	GNA15	TOMM20	HAAO	LARGE2		ICAM1	DPEP2	RPS2	FOLR3	SPTSSB	IGKV1D-8	F2RL3		ITGB3BP	LGI4
				GRM1	FGD5							LRRC9	RBM4B	SINHCAF		ELFN2		SYAP1	PTMS	MTIF2	CENPB	SLC38A11		THBD	CHCHD10	FXYD5	PGAM1	CAPN12	HM13	ABCC3		SGO2	TIMP4
				HIGD1C	MPDZ							LINC00298	MESTIT1	RNF41		PDE4B		MVB12B	SLC12A3	POLR3G	DNM1L	PTPN1		NUMB	PPM1N	ETS1	GLIPR2	TBC1D10C	SPACA3	RSU1		SLC7A3	SRPX
				SYP-AS1	KIAA0087							PDXP	ST3GAL6-AS1	IGBP1		SPANXC		GON4L	KCNK17	AZGP1	DTNA	SP110		ARRDC4	GRK2	CD28	TRIB1	ZBP1	HDLBP	HEXIM2		PSIP1	FN1
				NANOGNB	TMEM92							WASF3-AS1	SLC35B4	POU4F1		CSRNP1		ACTA2	SCAMP4	GSS	TMED8	TBC1D9		TRMT1	SPN	ARHGAP15	CTSH	ZBTB16	IGKV3D-15	DAPP1		SMARCA4	ANK2
				ODF3	FERMT1							SPSB4	LCMT1-AS1	KLHL24		GALNT7		LINC02086	ALCAM	SMARCC1	DAGLB	TFEB		CRIP1	MYO1G	TSHZ2	OTUD1	ARHGDIB	TMEM52	DCLRE1A		SIVA1	SEMA6D
				PGAM4	OBSL1							LINC01381	SORCS1	C20orf96		TERF2		PHAX	C1orf54	PDCD11	ARTN	ZDHHC21		DSE	MYD88	VAMP2	SULT1A1	HLA-F	LINC01055	PCP2		TMEM263	GLDN
				KCTD16	ACOT11							CXCL6	SCAMP1	SLC8B1		ORAI3		TRGV3	FAM221B	ECE2	TRAPPC2L	SMAGP		ID1	RARA	ISG20	THBS1	MYOM2	SLC17A9	DENND2C		DLEU2	LBP
				CD81-AS1	EID1							AHCYL2	ZNF550	POLM		SLC25A26		MAD1L1	CSF2RB	NOB1	CPNE2	NFKB2		PHLDA2	PTGES	EEF1D	TALDO1	RNF165	IGHV4-39	RAP1B		RBBP7	TWIST2
				COL4A5	HSD17B14							JAGN1	GHDC	SAG		NDUFA5		ZNRD1	PLXNA4	MAP7D2	GANAB	GNB5		METRNL	SYNGR2	1-Sep	NDUFB1	PSME1	ESRP1	SLC35D3		NONO	PDE1A
				MCM8-AS1	TCEAL7							CACNA1F	TIGD2	GRHPR		TNK2		TIPARP	CRIP3	DNAAF2	MRPL41	PEG10		SECTM1	RNH1	CD69	C1orf162	NCALD	LEFTY2	RD3L		GLO1	CRYAB
				HTD2	ARHGAP22							DUSP19	GALK2	C15orf62		ALDH5A1		TRGV10	BRK1	BLMH	SAMD1	COL9A3		USP3	ZMYND15	CORO1B	ADA2	CORO1A	IGLV1-40	SPDYC		GGH	IGFBP4
					LINC02160							UBALD1	LRRC49	GRAP		GFI1		ACTR6	PLVAP	PSMG4	NUP58	DUSP22		RIPK2	NR4A1	AAK1	RTN3	TSPAN32	IGLV3-1	BEX3		MYL6B	COL28A1
					XIRP2							GOLGB1	LINC01703	AC092724.1		WNT9A		ST8SIA1	CADM4	MTAP	DUS1L	AK8		C16orf72	KNDC1	LDLRAP1	FBXL5	AKNA	CHAC1	FAXDC2		KHDRBS1	MXRA5
					AKR1A1							ERVMER34-1	SDR42E1	DLL3		SPPL2B		GLB1L2	KCNK10	ITPA	COX7A2	BTLA		B3GNT5	C3AR1	RPL36A	MT-ND3	FEZ1	IGHV3-21	ARMC3		SMARCB1	LINC00640
					SV2A							PIGB	MYLK2	PITPNM2		GH1		LINC00384	VASH2	TXNDC17	UBA1	BAIAP3		SHTN1	LYNX1	CHRM3-AS2	CXCL8	YPEL1	IGKV3D-11	SAMD14		HNRNPR	EMILIN1
					WASIR1							DNAJC22	CAMKV	MEGF11		TSPAN7		METTL23	SFT2D2	DDX21	DEFB1	CYSLTR1		KDM6B	PAPSS2	STK4	ATP5MC2	PSMB9	LINC01754	RAB11A		DDAH2	MT1M
					LRBA							PCYOX1L	KDM4D	MAP4K2		LINC00951		RNF139	SLC35F3	PDCD6	TENT4A	C12orf42		HPSE	SYT17	CD40LG	SIRPB1	TNFRSF18	IGKV3-11	LINC01750		CBX5	CCN1
					CDH9							ETV4	DPPA2	NPTX1		FGF16		CDS2	CBFA2T3	NEDD4	NUP205	PARP15		TMEM127	LRRFIP1	SNHG32	QKI	CDC42SE1	IGLV5-45	PTGIR		SHCBP1	SIX1
					ZNF667							ACTRT3	CHI3L1	GORASP1		NGLY1		EVA1C	RRBP1	SLC16A1	INTS1	IGHE		RBPJ	P2RX1	RNF125	CARD16	UBE2F	IGLV2-8	DNAAF3		MYO3A	TRABD2B
					TMEM220							C6orf223	THRIL	MYBPC2		FLI1		GNAO1	DUSP5	HSPB6	RAPGEF2	NT5E		FUOM	LINC00877	FAU	CRISPLD2	CDK2AP2	IGHV3-15	PTPN18		NRM	TUSC3
					ZNF462							PIK3R6	ARHGAP26-AS1	EPN2-AS1		LIG4		RTP5	FUT7	QARS	NELFB	SH3BP5		MYO9B	GNG5	RPL12	CD163	LINC02084	IGKV1D-39	MINDY1		TMEM106C	GPM6B
					ZNRF1							GABRA1	PAX8	MMP11		NT5C2		SGCD	SLC20A1	DNAJC2	APPL1	MICAL3		FCGR1B	CAPZA2	CMPK1	VNN2	MAFF	SEL1L	TNNI3		MARCKSL1	CAVIN1
					COL24A1							DCDC2	ERN2	VLDLR-AS1		INTS3		TRGV4	TMED10	AFAP1L1	BMP8B	PAWR		RTN1	SEC14L1	RPL35	CNPY3	AC124319.1	UBE2QL1	SNAP23		RPL39L	RASD1
					RSL24D1							ACOT12	RNF227	ASXL1		VSIG10		RPF1	SMIM6	NUDT6	PIWIL4	FAM177B		PELI1	CD300C	LINC01550	CATSPER1	CTSC	IGKV2-30	SYTL4		SRSF10	ADGRL2
					PGM5							AZIN1-AS1	C9orf50	FADS3		STARD3		SLC4A7	DNAJC4	NDUFS4	MPND	DNAJC10		ARRDC3	RIN3	PIK3R1	CREB5	MYBL1	ZNF215	HSD17B3		APOLD1	PDGFRL
					ROBO3							GAPDHS	C8orf37	SERPIND1		MPPED2-AS1		EMD	LINC00865	ELFN1-AS1	ESYT2	DNAJC5B		SERTAD2	CACUL1	INPP4B	IRAK3	RASSF1	IGHV4-34	LINC00642		BARD1	WASF3
					CNMD							PKN2-AS1	ZNF607	GPT2		ARHGEF2		PSME4	EIF2AK4	TCAF1	ALOX15B	DUS2		SLC30A1	CAPZB	TCEA3	ENTPD1	NDUFB2	GPR160	ASAP2		KPNA2	EMP2
					BMERB1							INHBA-AS1	KCNJ14	ARID1B		CCDC9B		BCL7B	PFKFB2	ALG3	CLTCL1	LINC02245		PRCP	DOCK5	PBXIP1	NAIP	ITGB7	TTLL7	PTPRN		CCNI	APOD
					C11orf1							BTC	PPIL6	AP1B1		PKD2		GXYLT1	NUDT17	GATD3A	ZCCHC3	TMEM273		IL10RA	PLXNB2	RPL29	CAPNS1	DTHD1	SRPRB	CXCL5		HMCES	IGFBP3
					CAMLG							BRMS1L	OR13C5	KCNK12		CLHC1		PFKP	CRYM	ATXN10	CCNA1	CRACR2B		PEA15	PIK3AP1	EIF4A2	STAB1	PDIA3	IGLV1-47	INKA2		HAUS1	IL34
					TOM1L1							LINC01134	LINC02235	WDR49		PFDN4		PHF11	SLC41A2	ERGIC3	TMEM126A	HIP1R		MAPK6	FIBCD1	FOXP1	CARS2	PILRB	PSAT1	PDE3A		ANP32A	TNS2
					TNNT3							ARMCX5	SLC6A11	MTMR1		USP41		BAK1	A1BG	SOX12	DGKG	TRIM38		NOTCH2	RABGAP1L	ABLIM1	OGFRL1	FASLG	IGHV3-30	VEPH1		SKA2	FMOD
					MMP28							NME1-NME2	SV2C	FARS2		PSD3		CAMK2N1	IDO1	RABEPK	SUGP2	CDK14		MAP3K2	NUDT16	OCIAD2	CHP1	MCTP2	IGHV3-43	LYL1		RALY	CAV2
					CD109							DLGAP2	IFNL3	RNF212		TSPOAP1-AS1		RAB33A	BEND6	PCYT2	TRMT6	GRAMD1C		ZFYVE16	ARRB1	RPS23	PKM	BOK	WFS1	TRIM40		HIST1H1B	PRELP
					CREB3L4							NKPD1	NDUFC2-KCTD14	AK9		LINC01922		UBXN10-AS1	N4BP2L1	CREB3L3	SMG7	PRKD3		CCL3L1	FAM45A	EML4	DMXL2	LLGL2	IGHV3-48	CNN1		HIST1H2AH	THY1
					ST8SIA6							C1QL3	MEP1B	KLHL6		SCML2		DHX36	ZDHHC17	DCAF13	CNTROB	TTN		PLEKHB2	ACAA1	LINC00861	CASP1	PLAAT3	FBXO16	SPNS1		LIG1	EMP1
					ZNF711							ADAMTS16	LINC02175	SHOC2		TAPT1-AS1		STAMBPL1	MTDH	TRIAP1	AL162231.1	C1orf220		RNF145	CYTIP	RPL36AL	CLEC4D	AOAH	ATF4	RAB6B		CCNE2	TDO2
					SNHG12							FAXC	LINC01219	SMIM2-AS1		CREB3L1		SRPRA	COL26A1	AAMP	MDC1	EBLN3P		HCAR3	PDK4	EEF1B2	TPP1	IER2	IGHV1-18	C1orf116		FUS	WWTR1
					MYOZ3							GLYATL1B	CLPS	ZNF618		SMARCD2		CASZ1	TMEM109	PPID	CDS1	CR2		CEP170	GCH1	CDC42SE2	LRP1	MBP	ALDH1L2	PRSS50		SPTBN1	CSF1
					CLIP3							ENO3	C1orf147	MAFA-AS1		SLC35D1		DUSP8	PON2	ERAL1	RAB1B	EML6		ZFHX3	OAZ2	TESPA1	PLXDC2	LGALS9C	CCDC39	KIFC3		WDR76	EDNRB
					CLDN15							LINC01565	LINC02129	IBTK		ING4		ZNHIT3	AC010761.1	SLC19A1	GPATCH11	LRMP		ARL4A	TNFSF10	CD96	CD44	OSBPL5	IFNG-AS1	FAM187B		ARL6IP1	SLC7A2
					LINC00960							ANO2	LINC01719	TMEM106A		TAPT1		EPS15	TMEM210	EIF6	KLHL15	DMXL1		ABCA1	MCOLN1	TNFAIP8	VSTM1	MRPL10	CCDC110	RNF11		E2F8	SFRP1
					PLCB4							CAND2	LINC00551	IGKV2-26		MGMT		TMEM244	ARID3A	NARS2	PTDSS1	HLA-DQB2		USP12	DEDD2	LINC02273	PTPRE	DENND2D	IGKV2D-28	TRIM58		CIP2A	SERTAD4
					CACNA1C-AS2							CLDN16	FLNB-AS1	SLC50A1		NIPSNAP3B		KANSL1-AS1	TM9SF2	AGBL5	DOT1L	KMT2E		PCBP2	PPCDC	GSTK1	EREG	ITGAL	DCC	BMP6		SMC1A	C7
					ABRAXAS1							TEN1	NXPE2	LINC02576		FAM3D		UNC5B-AS1	SLC9A7	VDAC2	PHF10	PLCE1		UBE2D3	FMNL2	ANKRD12	IFI27L2	SIGIRR	OVOL1	RSPH9		HNRNPM	OSR2
					PHLDB2							REP15	CORIN	SCN4A		ZNF771		MFSD14A	SPNS3	UTP14A	STS	KCNIP2		RIOK3	SCGB3A1	GATA3	UQCR11	ARPC4	IGHV3-33	ATP9A		ATAD2	EFEMP2
					TIE1							PRPH	LINC02586	PRKCG		TAFA5		RALGAPA1	CACNA2D3	CHMP4C	STT3B	CAMK1D		BCL3	RNF13	BIN1	RAB3D	LIM2	PDK1	TMEM91		SYVN1	MARCKS
					OXT							AC239803.1		MAPKBP1		ARL5C		RCE1	MRC1	RFT1	COPG1	ANKRD13A		MXI1	RAB10	ZNF331	RBM47	DDIT4	LINC00309	OST4		HNRNPK	COL1A1
					TMED3							TNFAIP1		TMEM159		ZMYM2		TRGV5	RUBCN	VKORC1	CEP350	GPR18		CDV3	KLF3	ITK	HACD4	CEMIP2	IGKV1D-33	TMCC2		MED30	CCL2
					ZFAND1							C17orf64		FAM53B		PCMTD2		SURF2	MIF4GD	FAM234A	GYS1	WNT16		PLEKHO2	PDLIM5	SIRPG	POLR2L	CISD3	MKX	ARHGAP18		UBE2I	TSKU
					TATDN1							CNGA1		DKFZP434A062		ZSCAN2		CNOT1	TTC39A	ADAT2	PGAM5	CD80		SLC8A1	UTRN	LINC02446	CREG1	SCLT1	RAB26	FAM81B		E2F7	SYNPO2
					SMIM26							RASGEF1C		ZNF135		TCEAL8		AGAP1	ST3GAL4	TXNRD3	HGS	MRVI1-AS1		DDIT3	GRK3	TTC39C	AHNAK	CD320	PLPP2	TPTEP1		AKR1B1	C5orf38
					SCARF1							NUTM2E		SMIM7		CA7		ARHGAP10	PRXL2A	CISD1	SMG5	CLEC17A		RNF19B	MRAS	SERINC5	FLNA	MVD	SMPDL3B	LYPLAL1		MZT1	PARVA
					CHST13							HCG9		TOGARAM1		TEX41		ZBTB20-AS1	SSR1	ZNF492	LRRC8C	RABEP2		IER5L	TENT5A	SNHG8	MIDN	RHOF	SIL1	FRMD4B		ITGAE	ZFP36
					MDGA2							ARHGEF15		ZNF441		JPH3		C21orf91	LINC01374	PFAS	TBL1XR1	MBD4		GAB2	PCGF5	STAT3	HEXB	GNPTAB	C3orf70	TUBA8		CBX1	FERMT2
					THSD7A							KAAG1		NTS		ATXN7L3B		ZNF184	LRRC36	MYBBP1A	SFTA1P	PIP4P1		ATP6V1G1	APH1B	SUSD3	GASK1B	HMOX2	IGHV5-51	VCL		TCTEX1D2	ENAH
					SEZ6L2							TRBV6-8		ZNF493		BBX		LTBP4	MILR1	NR2F6	PBX3	PLEKHF2		PTP4A1	GPR137B	GPR171	CD55	SCP2	IGLV1-41	AP1M2		UBE2E3	EFNA1
					TMEM173							HM13-AS1		UNKL		ZNF793-AS1		VPS33A	COMT	GNPNAT1	TPRN	SOX5		BIRC2	YPEL2	DGKA	MYH9	BNC2	DDOST	CTDSPL		UBE2S	LMNA
					HMGA2-AS1							CPS1		REM2		PTPRD-AS1		CROCC	CCDC183	MAT2A	FZD2	MIR29B2CHG		FAM91A1	RALB	SFXN1	PLEC	MYL12B	SLC22A17	LINC01151		GCSAM	GNG12
					RNF220							LINC02585		GRAPL		USP22		PPP6R2	KIRREL3	NTHL1	GSTZ1	RNGTT		PRKAG2-AS1	FGD2	ATP6V0E2	NFIL3	GTF3C1	IGHV4-59	KIF2A		ZNF704	YAP1
					SLC12A5							LMLN-AS1		DNAJC18		BLACE		PPP1R14C	PARVG	ACBD6	PROSER2	P2RX5-TAX1BP3		DDX3X	PPM1F	RGCC	UBE2D1	KIR2DL4	LSAMP	PLAAT1		UGP2	TEAD1
					GSTO2							LINC01311		SLC23A1		MUC20-OT1		KLC1	AP3S1	COL6A6	CNOT11	STEAP1B		SUSD6	PGK1	TC2N	ATP6V0E1	IL12RB1	IGKV1D-13	LAMTOR1		NDUFA4	TPBG
					HOXB4							PDF		NPIPB5		MTIF3		HTATIP2	PALD1	RPUSD3	SPPL3	ZNF296		EP300	SIDT2	SNRPN	EAF1	OPTN	IGKV2-28	MTURN		FAM111A	INHBB
					AC117498.2							RGPD8		TUNAR		TMEM256		CARNMT1	KCNA5	ATAD1	UGGT2	SNX29		ICOSLG	GBP2	ARHGEF1	ZYX	HAVCR2	IGLV3-9	CD226		NSD2	FAM13C
					LRRC75A							PKD2L2		NSUN5		ARHGEF7		ORMDL1	NLRP7	MPV17L	SNAI3-AS1	CSNK1G3		GRB2	ADAP2	SVIP	ATP6V0D1	FHL3	IGLV2-11	BPIFB3		KIF14	VWA1
					FAM171B							ATP10B		HS1BP3		TMEM69		ZBTB49	SUSD1	GRSF1	ACAP3	KLF8		ARHGAP27	CCNG2	RGL4	SELL	TRGV9	IGKV2D-30	ODC1		TIMELESS	COL6A2
					SPTLC3									ENDOV		TRIM44		DDHD1	LINC02132	WDR41	E2F3	PRDM4		RNF141	MTPN	TNFRSF4	SLC16A3	CLIC1	IGLV3-25	ICAM2		HIST1H3G	EPB41L4B
					ZNF436-AS1									GPC2		ZNF606		GTF2E2	B4GALT1	DHX33	EPHB3	RASSF6		IFITM10	SELPLG	PDE3B	AC010618.1	EOMES	CARMIL1	AHCTF1		HSPB11	4-Sep
