celltype	marker_gene
CD34_pos_ERP	SERPINE2
CD34_pos_ERP	MAP7
CD34_pos_ERP	MEST
CD34_pos_ERP	RYR3
CD34_pos_ERP	NET1
CD34_pos_ERP	FAM124B
CD34_pos_ERP	STAT5A
CD34_pos_ERP	TRIB2
CD34_pos_ERP	CCDC181
CD34_pos_ERP	GDPD1
CD34_pos_ERP	NENF
CD34_pos_ERP	MTCL1
CD34_pos_ERP	YARS
CD34_pos_ERP	EPSTI1
CD34_pos_ERP	CYP7B1
CD34_pos_ERP	GNB3
CD34_pos_ERP	TMEM72
CD34_pos_ERP	CDH10
CD34_pos_ERP	DLGAP1-AS4
CD34_pos_ERP	KCTD1
CD34_pos_ERP	NUTM2A-AS1
CD34_pos_ERP	ITGB4
CD34_pos_ERP	PGAP2
CD34_pos_ERP	PODXL2
CD34_pos_ERP	SND1
CD34_pos_ERP	RFX7
CD34_pos_ERP	NXF3
CD34_pos_ERP	NUP98
CD34_pos_ERP	TPM1-AS
CD34_pos_ERP	VWA2
CD34_pos_ERP	DPP10
CD34_pos_ERP	SLC29A2
CD34_pos_ERP	FNDC10
CD34_pos_ERP	GALR3
CD34_pos_ERP	CELA2B
CD34_pos_ERP	ANKRD29
CD34_pos_ERP	LINC01785
CD34_pos_ERP	RNF169
CD34_pos_ERP	OOSP4B
CD34_pos_ERP	RAET1G
CD34_pos_ERP	LRRC2-AS1
CD34_pos_ERP	LINC01033
CD34_pos_ERP	LINC00668
CD34_pos_ERP	PAQR3
CD34_pos_ERP	STKLD1
CD34_pos_ERP	CASC3
CD34_pos_ERP	OTUD6B
CD34_pos_ERP	LINC02036
CD34_pos_ERP	SULT1A4
CD34_pos_ERP	C9
CD34_pos_ERP	ZNF616
CD34_pos_ERP	MYRIP
CD34_pos_ERP	COL20A1
CD34_pos_ERP	CDKL4
CD34_pos_ERP	MATR3
CD34_pos_ERP	C6orf201
CD34_pos_ERP	AADACL2-AS1
CD34_pos_ERP	PTPN20
CD34_pos_ERP	TEX19
CD34_pos_ERP	PRR35
CD34_pos_ERP	LINC02533
CD34_pos_ERP	IL37
CD34_pos_ERP	LINC01786
CD34_pos_ERP	KLHL31
CD34_pos_ERP	NMBR
CD34_pos_ERP	KLF17
CD34_pos_ERP	FBXO47
CD34_pos_ERP	BCAR4
CD34_pos_ERP_Early	GIHCG
CD34_pos_ERP_Early	ZNF385D
CD34_pos_ERP_Early	PKIG
CD34_pos_ERP_Early	STXBP6
CD34_pos_ERP_Early	SLC40A1
CD34_pos_ERP_Early	PDZD8
CD34_pos_ERP_Early	EMID1
CD34_pos_ERP_Early	ATF7IP2
CD34_pos_ERP_Early	AMHR2
CD34_pos_ERP_Early	PHTF1
CD34_pos_ERP_Early	CCNG1
CD34_pos_ERP_Early	MEX3B
CD34_pos_ERP_Early	RNF24
CD34_pos_ERP_Early	TEK
CD34_pos_ERP_Early	SLC27A6
CD34_pos_ERP_Early	SOSTDC1
CD34_pos_ERP_Early	C1orf141
CD34_pos_ERP_Early	NAA80
CD34_pos_ERP_Early	PHACTR4
CD34_pos_ERP_Early	MYO16
CD34_pos_ERP_Early	ZDHHC2
CD34_pos_ERP_Early	DPF1
CD34_pos_ERP_Early	ZNF555
CD34_pos_ERP_Early	SPATA42
CD34_pos_ERP_Early	ZNF804B
CD34_pos_ERP_Early	CDSN
CD34_pos_ERP_Early	P4HA3-AS1
CD34_pos_ERP_Early	LINC01977
CD34_pos_ERP_Early	TTLL10
CD34_pos_ERP_Early	OR2T33
CD34_pos_ERP_Early	OR2T8
CD34_pos_ERP_Early	ANKRD7
CD34_pos_ERP_Early	SOX21-AS1
CD34_pos_ERP_Early	ZNF112
CD34_pos_ERP_Early	WNT8A
CD34_pos_ERP_Early	CTAGE6
CD34_pos_ERP_Early	C2orf66
CD34_pos_ERP_Early	TCF15
CD34_pos_ERP_Early	CLRN1-AS1
CD34_pos_ERP_Early	SWT1
CD34_pos_ERP_Early	WDYHV1
CD34_pos_ERP_Early	ZNF496
CD34_pos_ERP_Early	CES3
CD34_pos_ERP_Early	ACE2
CD34_pos_ERP_Early	LRP2
CD34_pos_ERP_Early	NSMAF
CD34_pos_ERP_Early	MATN2
CD34_pos_ERP_Early	LINC01602
CD34_pos_ERP_Early	MIR1302-2HG
CD34_pos_ERP_Early	ZNF625-ZNF20
CD34_pos_ERP_Early	ZNF99
CD34_pos_ERP_Early	MAST1
CD34_pos_ERP_Early	ZBTB26
CD34_pos_ERP_Early	ADH6
CD34_pos_ERP_Early	DDX25
CD34_pos_ERP_Early	HES7
CD34_pos_ERP_Early	SAGE1
CD34_pos_ERP_Early	AKR1D1
CD34_pos_ERP_Early	LINC02340
CD34_pos_ERP_Early	ZNF157
CD34_pos_ERP_Early	KCNQ5-AS1
CD34_pos_ERP_Early	SLC7A4
CD34_pos_ERP_Early	CEL
CD34_pos_ERP_Early	OGDHL
CD34_pos_ERP_Early	OR14I1
CD34_pos_ERP_Early	ZPBP
CD34_pos_ERP_Early	C12orf54
CD34_pos_ERP_Early	SFTA3
CD34_pos_ERP_Early	ACVR2B-AS1
CD34_pos_ERP_Early	MSH4
CD34_pos_ERP_Early	SLC15A1
CD34_pos_ERP_Early	FAM71F1
CD34_pos_ERP_Early	LINC02408
CD34_pos_Gran	PRSS57
CD34_pos_Gran	MPO
CD34_pos_Gran	AZU1
CD34_pos_Gran	ELANE
CD34_pos_Gran	PRTN3
CD34_pos_Gran	NPW
CD34_pos_Gran	C1QTNF4
CD34_pos_Gran	CLEC11A
CD34_pos_Gran	CPA3
CD34_pos_Gran	CTSG
CD34_pos_Gran	CALR
CD34_pos_Gran	RNASE3
CD34_pos_Gran	HSPB1
CD34_pos_Gran	STAR
CD34_pos_Gran	SUCNR1
CD34_pos_Gran	MIF
CD34_pos_Gran	SNHG19
CD34_pos_Gran	HGF
CD34_pos_Gran	TMEM258
CD34_pos_Gran	VAT1
CD34_pos_Gran	PLPPR3
CD34_pos_Gran	SH3D21
CD34_pos_Gran	SLC2A5
CD34_pos_Gran	SNORC
CD34_pos_Gran	GPR12
CD34_pos_Gran	ERLIN1
CD34_pos_Gran	P4HB
CD34_pos_Gran	CEACAM6
CD34_pos_Gran	CEBPE
CD34_pos_Gran	PRSS21
CD34_pos_Gran	MAPK12
CD34_pos_Gran	TSPOAP1
CD34_pos_Gran	DPM3
CD34_pos_Gran	GPI
CD34_pos_Gran	PKP2
CD34_pos_Gran	NRG4
CD34_pos_Gran	PCBP3
CD34_pos_Gran	DDAH1
CD34_pos_Gran	PPP1R27
CD34_pos_Gran	METTL26
CD34_pos_Gran	AFF2
CD34_pos_Gran	PHKA1
CD34_pos_Gran	DEFA4
CD34_pos_Gran	PRRT4
CD34_pos_Gran	BMX
CD34_pos_Gran	KCNG2
CD34_pos_Gran	MEGF6
CD34_pos_Gran	GOLGA8N
CD34_pos_Gran	RAVER2
CD34_pos_Gran	APOA1
CD34_pos_Gran	RFX8
CD34_pos_Gran	LINC01405
CD34_pos_Gran	KRT17
CD34_pos_Gran	RAB11FIP3
CD34_pos_Gran	CHST4
CD34_pos_Gran	ANKRD18A
CD34_pos_Gran	TRIM71
CD34_pos_Gran	FGF13
CD34_pos_Gran	SLC25A29
CD34_pos_Gran	DEFB131B
