celltype	marker_gene
Dendritic_Cell	KCNMB1
Dendritic_Cell	GHRL
Dendritic_Cell	LIMD1
Dendritic_Cell	INSYN2A
Dendritic_Cell	EHF
Dendritic_Cell	SCARB1
Dendritic_Cell	ZNF487
Dendritic_Cell	ASCL4
Dendritic_Cell	ACSF2
Dendritic_Cell	MDFIC
Dendritic_Cell	SEMA5A
Dendritic_Cell	PGGT1B
Dendritic_Cell	SCNM1
Dendritic_Cell	MYMX
Dendritic_Cell	MTMR9
Dendritic_Cell	RUFY3
Dendritic_Cell	FYTTD1
Dendritic_Cell	LINC00528
Dendritic_Cell	CRYBG3
Dendritic_Cell	LINC01357
Dendritic_Cell	TCTN3
Dendritic_Cell	HTR7
Dendritic_Cell	ANTXR2
Dendritic_Cell	G6PC3
Dendritic_Cell	ANKRD11
Dendritic_Cell	IDO2
Dendritic_Cell	TSPAN1
Dendritic_Cell	BUD23
Dendritic_Cell	STT3A
Dendritic_Cell	BAIAP2-DT
Dendritic_Cell	ETV3
Dendritic_Cell	ARHGAP31
Dendritic_Cell	TFPT
Dendritic_Cell	NANS
Dendritic_Cell	SCAF11
Dendritic_Cell	ERN1
Dendritic_Cell	TATDN3
Dendritic_Cell	RAP1GDS1
Dendritic_Cell	ALOX15
Dendritic_Cell	RPS6KA2
Dendritic_Cell	RASSF8
Dendritic_Cell	TRERNA1
Dendritic_Cell	STK11IP
Dendritic_Cell	WDR33
Dendritic_Cell	ABI2
Dendritic_Cell	PLB1
Dendritic_Cell	ZNF469
Dendritic_Cell	DENND1B
Dendritic_Cell	FAM95B1
Dendritic_Cell	LINC00595
Dendritic_Cell	FOXN2
Dendritic_Cell	RHOXF1-AS1
Dendritic_Cell	PACS2
Dendritic_Cell	LINC01356
Dendritic_Cell	TMEM39B
Dendritic_Cell	LAYN
Dendritic_Cell	TMEM206
Dendritic_Cell	PI4KA
Dendritic_Cell	SND1-IT1
Dendritic_Cell	EP400P1
Dendritic_Cell	MMP15
Dendritic_Cell	KLC4
Dendritic_Cell	CDHR5
Dendritic_Cell	CYP2U1
Dendritic_Cell	HIVEP1
Dendritic_Cell	NIPA1
Dendritic_Cell	STK38L
Dendritic_Cell	SEC61A2
Dendritic_Cell	LINC00992
Dendritic_Cell	ENTPD3
Dendritic_Cell	TMEM132B
Dendritic_Cell	ETV2
Dendritic_Cell	RRAGC
Dendritic_Cell	LAD1
Dendritic_Cell	SLC25A33
Dendritic_Cell	TIGD3
Dendritic_Cell	SLC9C2
Dendritic_Cell	CASP9
Dendritic_Cell	ZFAT-AS1
Dendritic_Cell	SRPK3
Dendritic_Cell	ZNF789
Dendritic_Cell	ADGRB3
Dendritic_Cell	SLC35C2
Dendritic_Cell	UBE2W
Dendritic_Cell	PANX2
Dendritic_Cell	SRGAP3
Dendritic_Cell	MED26
Dendritic_Cell	SLC12A2
Dendritic_Cell	LINC01579
Dendritic_Cell	TTC24
Dendritic_Cell	ERICH5
Dendritic_Cell	DHTKD1
Dendritic_Cell	ABCA9-AS1
Dendritic_Cell	CXCL9
Dendritic_Cell	DCANP1
Dendritic_Cell	IQCE
Dendritic_Cell	COMMD10
Dendritic_Cell	LINC01176
Dendritic_Cell	FAM53C
Dendritic_Cell	DHRSX
Dendritic_Cell	MPRIP-AS1
Dendritic_Cell	HPS5
Dendritic_Cell	SLC3A2
Dendritic_Cell	P2RX2
Dendritic_Cell	CD207
Dendritic_Cell	SLIT1
Dendritic_Cell	TCF4-AS2
Dendritic_Cell	TDRD1
Dendritic_Cell	BTAF1
Dendritic_Cell	SFTPA1
Dendritic_Cell	LRP1B
Dendritic_Cell	NAPSA
Dendritic_Cell	DPP7
Dendritic_Cell	RSKR
Dendritic_Cell	DNAJC25
Dendritic_Cell	ENTPD7
Dendritic_Cell	SLC46A3
Dendritic_Cell	CTNS
Dendritic_Cell	ITPR2
Dendritic_Cell	HPS3
Dendritic_Cell	GUCY2D
Dendritic_Cell	SNAP91
Dendritic_Cell	CABP1
Dendritic_Cell	LINC02641
Dendritic_Cell	KIF26B
Dendritic_Cell	TBC1D9B
Dendritic_Cell	ZFYVE26
Dendritic_Cell	GPR39
Dendritic_Cell	ASPHD2
Dendritic_Cell	RAB15
Dendritic_Cell	SOGA1
Dendritic_Cell	C7orf31
Dendritic_Cell	DTX4
Dendritic_Cell	GPR157
Dendritic_Cell	PLCB3
Dendritic_Cell	SLC29A3
Dendritic_Cell	INPP5F
Dendritic_Cell	ASIC4
Dendritic_Cell	NRARP
Dendritic_Cell	ACCS
Dendritic_Cell	GPR31
Dendritic_Cell	CDH17
Dendritic_Cell	ATP6V0D2
Dendritic_Cell	ZNF556
Dendritic_Cell	NCR2
Dendritic_Cell	ZNF589
Dendritic_Cell	AMZ1
Dendritic_Cell	RELL1
Dendritic_Cell	RECQL5
Dendritic_Cell	ZSWIM8
Dendritic_Cell	GGCX
Dendritic_Cell	VWC2
Dendritic_Cell	AP003774.1
Dendritic_Cell	NR5A1
Dendritic_Cell	ODF4
Dendritic_Cell	KLRF2
Dendritic_Cell	MYO9A
Dendritic_Cell	LYPD8
Dendritic_Cell	ZNF652
Dendritic_Cell	KCTD19
Dendritic_Cell	TREML2
Dendritic_Cell	SIGLECL1
Dendritic_Cell	ADCK2
Dendritic_Cell	SLC33A1
Dendritic_Cell	LIMK2
Dendritic_Cell	ZMIZ2
Dendritic_Cell	MAP3K2-DT
Dendritic_Cell	TLR9
Dendritic_Cell	LINC01150
Dendritic_Cell	LINC01780
Dendritic_Cell	CUL4B
Dendritic_Cell	FAM160A1-DT
Dendritic_Cell	RANBP3L
Dendritic_Cell	TMX3
Dendritic_Cell	CCL17
Dendritic_Cell	RUFY4
Dendritic_Cell	EP400
Dendritic_Cell	TRDMT1
Dendritic_Cell	EFCAB9
Dendritic_Cell	AL359081.2
Dendritic_Cell	PRSS27
Dendritic_Cell	OR2C3
Dendritic_Cell	INSM1
Dendritic_Cell	GALR2
Dendritic_Cell	LINC02387
Dendritic_Cell	BDKRB2
Dendritic_Cell	LINC01970
Dendritic_Cell	IL19
Dendritic_Cell	ADORA1
Dendritic_Cell	AC092384.1
Dendritic_Cell	ADAM33
Dendritic_Cell	KIAA0100
Dendritic_Cell	LINC01415
Dendritic_Cell	BDKRB1
Dendritic_Cell	CALCA
Dendritic_Cell	UST
Dendritic_Cell	DPPA3
Dendritic_Cell	TPPP2
Dendritic_Cell	LINC01917
Dendritic_Cell	FILIP1L
Dendritic_Cell	MBOAT4
Dendritic_Cell	S100A5
Dendritic_Cell	TBC1D8-AS1
Dendritic_Cell	THSD1
Dendritic_Cell	SPATC1
Dendritic_Cell	MPP4
Dendritic_Cell	LINC00702
Dendritic_Cell	A2M
Dendritic_Cell	OXGR1
Dendritic_Cell	KCNC1
Dendritic_Cell	TRAV38-2DV8
Dendritic_Cell	CCR3
Dendritic_Cell	CD164L2
Dendritic_Cell	CBLL2
Dendritic_Cell	KIFC2
Dendritic_Cell	AC124852.1
Dendritic_Cell	ANKRD20A3
Dendritic_Cell	GRM7-AS3
Dendritic_Cell	DDX51
Dendritic_Cell	ACOX3
Dendritic_Cell	CFAP61
Dendritic_Cell	AC025524.2
Dendritic_Cell	PDZRN3
Dendritic_Cell	TRIM61
Dendritic_Cell	IFNA2
Dendritic_Cell	LINC01907
Dendritic_Cell	LINC02550
Dendritic_Cell	MMP9
Dendritic_Cell	TAT
Dendritic_Cell	DNAJB4
Dendritic_Cell	A1BG-AS1
Dendritic_Cell	SLC25A43
Dendritic_Cell	C4BPB
Dendritic_Cell	CRLF2
Dendritic_Cell	ZNF846
Dendritic_Cell	C2orf91
Dendritic_Cell	LINC02449
Dendritic_Cell	LINC01433
Dendritic_Cell	SRGAP3-AS4
Dendritic_Cell	LINC00294
Dendritic_Cell	LINC02692
Dendritic_Cell	C1orf127
Dendritic_Cell	WDR64
Dendritic_Cell	GJC2
Dendritic_Cell	AC010605.1
Dendritic_Cell	PDZK1P1
Dendritic_Cell	CA4
Dendritic_Cell	CLRN3
Dendritic_Cell	TMPRSS13
Dendritic_Cell	LINC01402
Dendritic_Cell	SATL1
Dendritic_Cell	MAGEA8-AS1
Dendritic_Cell	CNTN4-AS1
Dendritic_Cell	FER1L6
Dendritic_Cell	LINC00207
Dendritic_Cell	LINC01049
Dendritic_Cell	RAD51AP2
Dendritic_Cell	LINC01491
Dendritic_Cell	UBTFL1
Dendritic_Cell	PHEX-AS1
Dendritic_Cell	LINC01350
Dendritic_Cell	RALYL
Dendritic_Cell	C2orf83
Dendritic_Cell	LINC01699
Dendritic_Cell	SCN1A
Dendritic_Cell	LINC00639
Dendritic_Cell	LINC01192
Dendritic_Cell	TREH
Dendritic_Cell	CARS-AS1
Dendritic_Cell	LINC00454
Dendritic_Cell	LINC01932
Dendritic_Cell	OR5AN1
Dendritic_Cell	LY6G6E
Dendritic_Cell	ETDB
Dendritic_Cell	LLCFC1
Dendritic_Cell	LINC01449
Dendritic_Cell	SP9
Dendritic_Cell	SLITRK2
Dendritic_Cell	DDX4
Dendritic_Cell	BTBD16
Dendritic_Cell	LINC02417
Dendritic_Cell	IGHV1-12
Dendritic_Cell	LINC00598
Dendritic_Cell	OR3A3
Dendritic_Cell	LINC01363
Dendritic_Cell	LINC02163
Dendritic_Cell	KRTAP9-7
Dendritic_Cell	KIAA1211L
Dendritic_Cell	VWA5B1
Dendritic_Cell	PIPOX
Dendritic_Cell	AC104971.1
Dendritic_Cell	FBXL13
Dendritic_Cell	MPP3
Dendritic_Cell	LINC01018
Dendritic_Cell	TTLL11-IT1
Dendritic_Cell	ENO4
Dendritic_Cell	OPA3
Dendritic_Cell	CDKL5
Dendritic_Cell	NSG2
Dendritic_Cell	C6orf132
Dendritic_Cell	NKILA
Dendritic_Cell	AGER
Dendritic_Cell	AVPR1B
Dendritic_Cell	DSPP
Dendritic_Cell	RSPH6A
Dendritic_Cell	GRIK2
Dendritic_Cell	PRSS56
Dendritic_Cell	EQTN
Dendritic_Cell	AKAP8
Dendritic_Cell	LINC01829
Dendritic_Cell	NANOG
Dendritic_Cell	TXNDC8
Dendritic_Cell	FAM90A1
Dendritic_Cell	PPEF1
Dendritic_Cell	FUT3
Dendritic_Cell	TRIM67
Dendritic_Cell	WNT6
Dendritic_Cell	TNNT2
Dendritic_Cell	LINC01537
Dendritic_Cell	DRGX
Dendritic_Cell	LINC02333
Dendritic_Cell	FOXA1
Dendritic_Cell	TLX3
Dendritic_Cell	FAM156B
Dendritic_Cell	PROCA1
Dendritic_Cell	ZDHHC8
Dendritic_Cell	SMPD5
Dendritic_Cell	SP5
Dendritic_Cell	TMC3
Dendritic_Cell	AANAT
Dendritic_Cell	LINC01953
Dendritic_Cell	TNNI1
Dendritic_Cell	LINC02344
Dendritic_Cell	LINC00327
Dendritic_Cell	CCL16
Dendritic_Cell	DCLK3
Dendritic_Cell	ADAM11
Dendritic_Cell	DKK4
Dendritic_Cell	LRRTM2
Dendritic_Cell	IGHEP2
Dendritic_Cell	MGAT4C
Dendritic_Cell	CBS
Dendritic_Cell	NYAP2
Dendritic_Cell	RFPL4AL1
Dendritic_Cell	TULP2
Dendritic_Cell	SCHLAP1
Dendritic_Cell	CNGB1
Dendritic_Cell	LIPJ
Dendritic_Cell	CLDN9
Dendritic_Cell	PPIAL4A
Dendritic_Cell	TRPM2-AS
Dendritic_Cell	KIAA0895L
Dendritic_Cell	CFLAR-AS1
Dendritic_Cell	ACSM2A
Dendritic_Cell	SMAD5-AS1
Dendritic_Cell	C2-AS1
Dendritic_Cell	LINC01160
Dendritic_Cell	TMX2-CTNND1
Dendritic_Cell	SYT4
Dendritic_Cell	LY6G5B
Dendritic_Cell	GRPR
Dendritic_Cell	OR56B1
Dendritic_Cell	LINC00964
Dendritic_Cell	CSMD2
Dendritic_Cell	MTUS2
Dendritic_Cell	LINC01620
Dendritic_Cell	C13orf42
Dendritic_Cell	C12orf56
Dendritic_Cell	SPATA32
Dendritic_Cell	AP003733.3
Dendritic_Cell	KCNIP4-IT1
Dendritic_Cell	CXCL17
Dendritic_Cell	CASC11
Dendritic_Cell	ANKRD24
Dendritic_Cell	MIR202HG
Dendritic_Cell	CMTM1
Dendritic_Cell	MEP1A
Dendritic_Cell	LAMA1
Dendritic_Cell	PLGLB2
Dendritic_Cell	DNAH17
Dendritic_Cell	GPR52
Dendritic_Cell	CLDN19
Dendritic_Cell	PSPC1-AS2
Dendritic_Cell	CYP17A1
Early_Erythroblast	APOC1
Early_Erythroblast	NMU
Early_Erythroblast	CNRIP1
Early_Erythroblast	GAL
Early_Erythroblast	NPM1
Early_Erythroblast	CXADR
Early_Erythroblast	FAM89A
Early_Erythroblast	PNMT
Early_Erythroblast	GCSH
Early_Erythroblast	C1QBP
Early_Erythroblast	NME1
Early_Erythroblast	FSCN1
Early_Erythroblast	CDH1
Early_Erythroblast	PVT1
Early_Erythroblast	GRTP1
Early_Erythroblast	UNG
Early_Erythroblast	MYC
Early_Erythroblast	DNPH1
Early_Erythroblast	DES
Early_Erythroblast	DHRS11
Early_Erythroblast	CCDC26
Early_Erythroblast	CENPV
Early_Erythroblast	RPL37A
Early_Erythroblast	SRM
Early_Erythroblast	MYB
Early_Erythroblast	AHCY
Early_Erythroblast	UQCRH
Early_Erythroblast	NPM3
Early_Erythroblast	PEBP1
Early_Erythroblast	SORD
Early_Erythroblast	PMP22
Early_Erythroblast	CASP3
Early_Erythroblast	GNL3
Early_Erythroblast	GSTM3
Early_Erythroblast	TUFM
Early_Erythroblast	MRPS25
Early_Erythroblast	PRMT1
Early_Erythroblast	MORF4L2
Early_Erythroblast	CASP6
Early_Erythroblast	PPA1
Early_Erythroblast	CHCHD2
Early_Erythroblast	COL6A5
Early_Erythroblast	TMEM97
Early_Erythroblast	CMSS1
Early_Erythroblast	NHP2
Early_Erythroblast	AK2
Early_Erythroblast	KCNK5
Early_Erythroblast	MRPL52
Early_Erythroblast	SLC27A2
Early_Erythroblast	COQ8A
Early_Erythroblast	TMEM246
Early_Erythroblast	MGST2
Early_Erythroblast	GGCT
Early_Erythroblast	FBL
Early_Erythroblast	RPL23
Early_Erythroblast	PLTP
Early_Erythroblast	DCTPP1
Early_Erythroblast	AIG1
Early_Erythroblast	KIT
Early_Erythroblast	TRIP6
Early_Erythroblast	MUC1
Early_Erythroblast	SELENOH
Early_Erythroblast	MRPS23
Early_Erythroblast	CLNS1A
Early_Erythroblast	MICOS10
Early_Erythroblast	CYP2E1
Early_Erythroblast	HNRNPC
Early_Erythroblast	ECHS1
Early_Erythroblast	PHF6
Early_Erythroblast	HDAC7
Early_Erythroblast	SLC39A4
Early_Erythroblast	MRPS26
Early_Erythroblast	TRIM28
Early_Erythroblast	YBX2
Early_Erythroblast	TESMIN
Early_Erythroblast	EIF1AX
Early_Erythroblast	TFAM
Early_Erythroblast	FAM136A
Early_Erythroblast	WDR43
Early_Erythroblast	NDUFAF2
Early_Erythroblast	PNPO
Early_Erythroblast	PABPC4
Early_Erythroblast	DNAH14
Early_Erythroblast	DMAC1
Early_Erythroblast	RRP9
Early_Erythroblast	SLC12A6
Early_Erythroblast	OLA1
Early_Erythroblast	SDHAF3
Early_Erythroblast	RPP40
Early_Erythroblast	ATP5MD
Early_Erythroblast	INTS13
Early_Erythroblast	NDUFC2
Early_Erythroblast	GTF3A
Early_Erythroblast	ABO
Early_Erythroblast	GATA2-AS1
Early_Erythroblast	NMI
Early_Erythroblast	MDH2
Early_Erythroblast	EXTL2
Early_Erythroblast	TRIM29
Early_Erythroblast	ASB9
Early_Erythroblast	PDSS1
Early_Erythroblast	HAGHL
Early_Erythroblast	HSD17B12
Early_Erythroblast	MRPL24
Early_Erythroblast	ZNF667-AS1
Early_Erythroblast	PYURF
Early_Erythroblast	THRB
Early_Erythroblast	RNPS1
Early_Erythroblast	NIPSNAP2
Early_Erythroblast	SURF6
Early_Erythroblast	ALKBH2
Early_Erythroblast	GTF2I
Early_Erythroblast	PRR15
Early_Erythroblast	KDM1A
Early_Erythroblast	SRD5A3
Early_Erythroblast	MRPS35
Early_Erythroblast	MTHFD2
Early_Erythroblast	KTN1
Early_Erythroblast	SDHC
Early_Erythroblast	SLC27A5
Early_Erythroblast	VWDE
Early_Erythroblast	NLE1
Early_Erythroblast	ANKRD27
Early_Erythroblast	WDR77
Early_Erythroblast	C9orf116
Early_Erythroblast	HOMER2
Early_Erythroblast	TOMM20
Early_Erythroblast	MTIF2
Early_Erythroblast	POLR3G
Early_Erythroblast	AZGP1
Early_Erythroblast	GSS
Early_Erythroblast	SMARCC1
Early_Erythroblast	PDCD11
Early_Erythroblast	ECE2
Early_Erythroblast	NOB1
Early_Erythroblast	MAP7D2
Early_Erythroblast	DNAAF2
Early_Erythroblast	BLMH
Early_Erythroblast	PSMG4
Early_Erythroblast	MTAP
Early_Erythroblast	ITPA
Early_Erythroblast	TXNDC17
Early_Erythroblast	DDX21
Early_Erythroblast	PDCD6
Early_Erythroblast	NEDD4
Early_Erythroblast	SLC16A1
Early_Erythroblast	HSPB6
Early_Erythroblast	QARS
Early_Erythroblast	DNAJC2
Early_Erythroblast	AFAP1L1
Early_Erythroblast	NUDT6
Early_Erythroblast	NDUFS4
Early_Erythroblast	ELFN1-AS1
Early_Erythroblast	TCAF1
Early_Erythroblast	ALG3
Early_Erythroblast	GATD3A
Early_Erythroblast	ATXN10
Early_Erythroblast	ERGIC3
Early_Erythroblast	SOX12
Early_Erythroblast	RABEPK
Early_Erythroblast	PCYT2
Early_Erythroblast	CREB3L3
Early_Erythroblast	DCAF13
Early_Erythroblast	TRIAP1
Early_Erythroblast	AAMP
Early_Erythroblast	PPID
Early_Erythroblast	ERAL1
Early_Erythroblast	SLC19A1
Early_Erythroblast	EIF6
Early_Erythroblast	NARS2
Early_Erythroblast	AGBL5
Early_Erythroblast	VDAC2
Early_Erythroblast	UTP14A
Early_Erythroblast	CHMP4C
Early_Erythroblast	RFT1
Early_Erythroblast	VKORC1
Early_Erythroblast	FAM234A
Early_Erythroblast	ADAT2
Early_Erythroblast	TXNRD3
Early_Erythroblast	CISD1
Early_Erythroblast	ZNF492
Early_Erythroblast	PFAS
Early_Erythroblast	MYBBP1A
Early_Erythroblast	NR2F6
Early_Erythroblast	GNPNAT1
Early_Erythroblast	MAT2A
Early_Erythroblast	NTHL1
Early_Erythroblast	ACBD6
Early_Erythroblast	COL6A6
Early_Erythroblast	RPUSD3
Early_Erythroblast	ATAD1
Early_Erythroblast	MPV17L
Early_Erythroblast	GRSF1
Early_Erythroblast	WDR41
Early_Erythroblast	DHX33
Early_Erythroblast	ADAMTS14
Early_Erythroblast	EPS15L1
Early_Erythroblast	NEFH
Early_Erythroblast	QDPR
Early_Erythroblast	TMEM177
Early_Erythroblast	GRK4
Early_Erythroblast	WDR46
Early_Erythroblast	URM1
Early_Erythroblast	FAHD2B
Early_Erythroblast	MYOC
Early_Erythroblast	SMYD5
Early_Erythroblast	BMS1
Early_Erythroblast	BCLAF1
Early_Erythroblast	AL355338.1
Early_Erythroblast	FAM210A
Early_Erythroblast	LINC01979
Early_Erythroblast	ZNF146
Early_Erythroblast	FKBP5
Early_Erythroblast	TKFC
Early_Erythroblast	SF3B5
Early_Erythroblast	NIPSNAP1
Early_Erythroblast	OSBPL1A
Early_Erythroblast	DIXDC1
Early_Erythroblast	TFAP4
Early_Erythroblast	IP6K2
Early_Erythroblast	PDCD2
Early_Erythroblast	CAD
Early_Erythroblast	TMEM41A
Early_Erythroblast	CETN2
Early_Erythroblast	RPUSD4
Early_Erythroblast	GALE
Early_Erythroblast	NLN
Early_Erythroblast	YTHDF2
Early_Erythroblast	PAIP1
Early_Erythroblast	CFDP1
Early_Erythroblast	PCTP
Early_Erythroblast	BCAT2
Early_Erythroblast	DCTD
Early_Erythroblast	RIOX2
Early_Erythroblast	HYAL2
Early_Erythroblast	URB1
Early_Erythroblast	FAM229B
Early_Erythroblast	ALG8
Early_Erythroblast	TMEM165
Early_Erythroblast	SMIM15
Early_Erythroblast	NEO1
Early_Erythroblast	RXYLT1
Early_Erythroblast	THNSL1
Early_Erythroblast	ARHGDIG
Early_Erythroblast	SDAD1
Early_Erythroblast	OMA1
Early_Erythroblast	MOSPD3
Early_Erythroblast	NMRAL1
Early_Erythroblast	TMEM126B
Early_Erythroblast	PLD6
Early_Erythroblast	PDCD7
Early_Erythroblast	YARS2
Early_Erythroblast	PIEZO1
Early_Erythroblast	MRPS27
Early_Erythroblast	IMPACT
Early_Erythroblast	SLC26A2
Early_Erythroblast	NUDCD1
Early_Erythroblast	GEMIN4
Early_Erythroblast	TRIM24
Early_Erythroblast	SARS2
Early_Erythroblast	WDR36
Early_Erythroblast	DDX10
Early_Erythroblast	NOP2
Early_Erythroblast	CBLL1
Early_Erythroblast	DAG1
Early_Erythroblast	SMIM30
Early_Erythroblast	LINC00884
Early_Erythroblast	RABEP1
Early_Erythroblast	KIAA0895
Early_Erythroblast	PALM
Early_Erythroblast	KATNB1
Early_Erythroblast	LYRM4
Early_Erythroblast	SETD6
Early_Erythroblast	KTN1-AS1
Early_Erythroblast	CYREN
Early_Erythroblast	THAP4
Early_Erythroblast	TMEM161A
Early_Erythroblast	MCCC2
Early_Erythroblast	MRPS30
Early_Erythroblast	FIRRE
Early_Erythroblast	L2HGDH
Early_Erythroblast	ANKMY2
Early_Erythroblast	MTHFS
Early_Erythroblast	ZMYND19
Early_Erythroblast	TIPRL
Early_Erythroblast	UBA5
Early_Erythroblast	LINC00891
Early_Erythroblast	ECHDC1
Early_Erythroblast	TOMM5
Early_Erythroblast	PEX10
Early_Erythroblast	POLR1A
Early_Erythroblast	ZDHHC16
Early_Erythroblast	SLC25A19
Early_Erythroblast	C8orf82
Early_Erythroblast	CSRP3
Early_Erythroblast	PSPH
Early_Erythroblast	NSA2
Early_Erythroblast	TOMM34
Early_Erythroblast	TMEM201
Early_Erythroblast	ANAPC13
Early_Erythroblast	RWDD4
Early_Erythroblast	XXYLT1
Early_Erythroblast	MEX3A
Early_Erythroblast	RBM28
Early_Erythroblast	STARD7
Early_Erythroblast	NCBP2
Early_Erythroblast	TFB2M
Early_Erythroblast	ZPR1
Early_Erythroblast	STK32C
Early_Erythroblast	MPP6
Early_Erythroblast	PANK1
Early_Erythroblast	DFFA
Early_Erythroblast	MTA1
Early_Erythroblast	THOC2
Early_Erythroblast	IARS2
Early_Erythroblast	FAM86B1
Early_Erythroblast	NUDT15
Early_Erythroblast	DPP10-AS1
Early_Erythroblast	ZMYM3
Early_Erythroblast	OSBPL9
Early_Erythroblast	FAM189B
Early_Erythroblast	GLRB
Early_Erythroblast	PDK3
Early_Erythroblast	PDCL2
Early_Erythroblast	MFSD3
Early_Erythroblast	METAP1D
Early_Erythroblast	C5orf24
Early_Erythroblast	PSMD10
Early_Erythroblast	MED12
Early_Erythroblast	HINT3
Early_Erythroblast	NELFA
Early_Erythroblast	UBQLN4
Early_Erythroblast	PTDSS2
Early_Erythroblast	ZNF639
Early_Erythroblast	SUPT20H
Early_Erythroblast	COQ5
Early_Erythroblast	MAP6D1
Early_Erythroblast	IFT46
Early_Erythroblast	SLC5A6
Early_Erythroblast	LRFN4
Early_Erythroblast	CWC15
Early_Erythroblast	CPSF1
Early_Erythroblast	MAP4K5
Early_Erythroblast	SRP68
Early_Erythroblast	FUT10
Early_Erythroblast	BCKDHB
Early_Erythroblast	PEX13
Early_Erythroblast	SETMAR
Early_Erythroblast	OGFOD3
Early_Erythroblast	PLPBP
Early_Erythroblast	TEX10
Early_Erythroblast	PTPMT1
Early_Erythroblast	PRIMPOL
Early_Erythroblast	PTPN11
Early_Erythroblast	RNASEH1
Early_Erythroblast	PCOTH
Early_Erythroblast	ACY1
Early_Erythroblast	FAM86C1
Early_Erythroblast	ANKRD17
Early_Erythroblast	EEFSEC
Early_Erythroblast	TBL2
Early_Erythroblast	EHMT2
Early_Erythroblast	PCNX4
Early_Erythroblast	CHCHD6
Early_Erythroblast	PRDM11
Early_Erythroblast	MAK16
Early_Erythroblast	PALB2
Early_Erythroblast	SLMAP
Early_Erythroblast	RPAP3
Early_Erythroblast	RNF208
Early_Erythroblast	AP1S1
Early_Erythroblast	PLAC1
Early_Erythroblast	ECSIT
Early_Erythroblast	SNUPN
Early_Erythroblast	CEP83
Early_Erythroblast	GPC6
Early_Erythroblast	EXD2
Early_Erythroblast	SYCP1
Early_Erythroblast	RPUSD1
Early_Erythroblast	ALG1
Early_Erythroblast	PUS7L
Early_Erythroblast	PARL
Early_Erythroblast	GSTM4
Early_Erythroblast	ANKRD26
Early_Erythroblast	LINC01366
Early_Erythroblast	MBLAC2
Early_Erythroblast	LRRC6
Early_Erythroblast	AC020928.1
Early_Erythroblast	TRNT1
Early_Erythroblast	FZD6
Early_Erythroblast	JMJD4
Early_Erythroblast	ZNF121
Early_Erythroblast	PINLYP
Early_Erythroblast	LLPH
Early_Erythroblast	SBNO1
Early_Erythroblast	TMEM251
Early_Erythroblast	ZFP57
Early_Erythroblast	ZNF511
Early_Erythroblast	RMDN2
Early_Erythroblast	TWISTNB
Early_Erythroblast	COX10
Early_Erythroblast	ANAPC1
Early_Erythroblast	PEX11A
Early_Erythroblast	GTPBP3
Early_Erythroblast	MOGS
Early_Erythroblast	PHOSPHO2
Early_Erythroblast	POLRMT
Early_Erythroblast	FLYWCH2
Early_Erythroblast	APOOL
Early_Erythroblast	RBM19
Early_Erythroblast	NAA25
Early_Erythroblast	KLRG2
Early_Erythroblast	PRRC1
Early_Erythroblast	ZNF69
Early_Erythroblast	FASN
Early_Erythroblast	PRR19
Early_Erythroblast	DDX42
Early_Erythroblast	ZNF770
Early_Erythroblast	CCNJ
Early_Erythroblast	DROSHA
Early_Erythroblast	ZNF814
Early_Erythroblast	SELENOI
Early_Erythroblast	MICOS13
Early_Erythroblast	YDJC
Early_Erythroblast	LANCL1
Early_Erythroblast	ZNF174
Early_Erythroblast	DYRK4
Early_Erythroblast	AVEN
Early_Erythroblast	TGFBRAP1
Early_Erythroblast	PDXDC1
Early_Erythroblast	HEATR1
Early_Erythroblast	MEN1
Early_Erythroblast	PEX5
Early_Erythroblast	DPAGT1
Early_Erythroblast	TRIM27
Early_Erythroblast	PHYH
Early_Erythroblast	PRRC2A
Early_Erythroblast	TNPO1
Early_Erythroblast	MARS2
Early_Erythroblast	DTD2
Early_Erythroblast	JMJD8
Early_Erythroblast	HUWE1
Early_Erythroblast	LSG1
Early_Erythroblast	COPS7B
Early_Erythroblast	YLPM1
Early_Erythroblast	TRIM65
Early_Erythroblast	AGL
Early_Erythroblast	PEMT
Early_Erythroblast	LCA5L
Early_Erythroblast	SHLD2
Early_Erythroblast	DUS3L
Early_Erythroblast	REEP6
Early_Erythroblast	GOPC
Early_Erythroblast	AMER1
Early_Erythroblast	NAT14
Early_Erythroblast	KIAA1143
Early_Erythroblast	ANGEL1
Early_Erythroblast	PLEKHA8
Early_Erythroblast	ZNF395
Early_Erythroblast	CDC26
Early_Erythroblast	UNC13B
Early_Erythroblast	ZNF664
Early_Erythroblast	ATP11C
Early_Erythroblast	TRAPPC12
Early_Erythroblast	HSF2
Early_Erythroblast	MKRN2
Early_Erythroblast	FASTKD3
Early_Erythroblast	PRSS8
Early_Erythroblast	POLR1C
Early_Erythroblast	RGS9BP
Early_Erythroblast	ENTR1
Early_Erythroblast	FABP6
Early_Erythroblast	UQCRHL
Early_Erythroblast	PRKCI
Early_Erythroblast	SUOX
Early_Erythroblast	B3GALNT2
Early_Erythroblast	ATPSCKMT
Early_Erythroblast	GOLGA6L9
Early_Erythroblast	NUDT9
Early_Erythroblast	RDH13
Early_Erythroblast	LSM12
Early_Erythroblast	BLOC1S5
Early_Erythroblast	LINC02302
Early_Erythroblast	DCAKD
Early_Erythroblast	LUC7L
Early_Erythroblast	ELK1
